Invoice Id,Customer Name,Amount,email,Invoice Date
INV3572,Oyondu,1,rohare0@wunderground.com,2017-01-10T00:18:48Z
INV3116,Amar,3,kcrosswaite5@cafepress.com,2017-04-06T22:05:28Z
INV3521,Murali2,1111111,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3525,Murali6,1111115,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3527,Murali8,1111117,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3520,Murali1,8,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV6570,Mycat,11111,galenin2@mozilla.org,2017-05-07T08:14:19Z
INV3160,Yata,6,usidary8@scribd.com,2017-05-28T00:47:04Z
INV1770,Kwilith,4,pfacher6@bizjournals.com,2016-11-27T09:37:31Z
INV3528,Bala,1111118,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3526,Jhon,1111116,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV5288,Twinder,2,amilne4@go.com,2017-04-29T11:05:42Z
INV3520,zebra,7,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3523,Murali4,1111113,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3522,Ajith,1111112,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INV3524,Tsting,1111114,sgrassot9@imageshack.us,2017-09-30T00:28:01Z
INVFAIL,PurposeFailthisworkitem,5,cgeorgel7@photobucket.com,2016-12-05T19:29:27Z
INV0864,Quire,111,dclopton1@reverbnation.com,2017-10-05T02:18:00Z
INV3049,Cat,1111111,hloch3@ask.com,2017-06-23T15:45:36Z
